creacion,candidato,compound,retweet_count,numSemana,compoundRT
03/03/21,Samuel Garcia,0.296,9,10,2.664
03/03/21,Samuel Garcia,0.5574,0,10,0
03/03/21,Samuel Garcia,0.8686,1,10,0.8686
03/03/21,Samuel Garcia,0.5106,2,10,1.0212
03/03/21,Samuel Garcia,-0.3182,1,10,-0.3182
04/03/21,Samuel Garcia,-0.6908,0,10,0
04/03/21,Samuel Garcia,0.5994,0,10,0
04/03/21,Samuel Garcia,0,21,10,0
04/03/21,Samuel Garcia,0.0772,0,10,0
04/03/21,Samuel Garcia,0,0,10,0
04/03/21,Samuel Garcia,-0.4767,23,10,-10.9641
04/03/21,Samuel Garcia,0,2,10,0
04/03/21,Samuel Garcia,-0.2732,0,10,0
04/03/21,Samuel Garcia,0.743,1,10,0.743
04/03/21,Samuel Garcia,0,3,10,0
04/03/21,Samuel Garcia,0,7,10,0
04/03/21,Samuel Garcia,0,0,10,0
04/03/21,Samuel Garcia,-0.5499,0,10,0
04/03/21,Samuel Garcia,0.2023,0,10,0
04/03/21,Samuel Garcia,-0.4019,16,10,-6.4304
05/03/21,Samuel Garcia,-0.6445,0,10,0
05/03/21,Samuel Garcia,0,6,10,0
05/03/21,Samuel Garcia,0,6,10,0
05/03/21,Samuel Garcia,0,47,10,0
05/03/21,Samuel Garcia,-0.1012,0,10,0
05/03/21,Samuel Garcia,0,47,10,0
05/03/21,Samuel Garcia,0,2,10,0
05/03/21,Samuel Garcia,0,1,10,0
05/03/21,Samuel Garcia,0.7506,11,10,8.2566
05/03/21,Samuel Garcia,-0.0772,0,10,0
05/03/21,Samuel Garcia,-0.25,18,10,-4.5
05/03/21,Samuel Garcia,0.0258,0,10,0
05/03/21,Samuel Garcia,0.4019,3,10,1.2057
05/03/21,Samuel Garcia,-0.6705,0,10,0
05/03/21,Samuel Garcia,-0.4939,0,10,0
05/03/21,Samuel Garcia,-0.0258,2,10,-0.0516
05/03/21,Samuel Garcia,0.1531,0,10,0
05/03/21,Samuel Garcia,0,47,10,0
05/03/21,Samuel Garcia,-0.5106,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0.4404,6,10,2.6424
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0,152,10,0
05/03/21,Samuel Garcia,-0.3612,46,10,-16.6152
05/03/21,Samuel Garcia,0.5106,2,10,1.0212
05/03/21,Samuel Garcia,-0.0258,0,10,0
05/03/21,Samuel Garcia,-0.0772,0,10,0
05/03/21,Samuel Garcia,-0.8591,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0.6442,1,10,0.6442
05/03/21,Samuel Garcia,0.0516,0,10,0
05/03/21,Samuel Garcia,0.1456,0,10,0
05/03/21,Samuel Garcia,0.4404,0,10,0
05/03/21,Samuel Garcia,0,152,10,0
05/03/21,Samuel Garcia,0.4588,0,10,0
05/03/21,Samuel Garcia,0.1779,1,10,0.1779
05/03/21,Samuel Garcia,0.2263,116,10,26.2508
05/03/21,Samuel Garcia,0.4019,0,10,0
05/03/21,Samuel Garcia,-0.3612,46,10,-16.6152
05/03/21,Samuel Garcia,0,216,10,0
05/03/21,Samuel Garcia,0.4404,0,10,0
05/03/21,Samuel Garcia,0,152,10,0
05/03/21,Samuel Garcia,0.8481,0,10,0
05/03/21,Samuel Garcia,-0.0204,0,10,0
05/03/21,Samuel Garcia,0.8271,1,10,0.8271
05/03/21,Samuel Garcia,0.25,0,10,0
05/03/21,Samuel Garcia,-0.7968,0,10,0
05/03/21,Samuel Garcia,0.3818,0,10,0
05/03/21,Samuel Garcia,-0.5106,0,10,0
05/03/21,Samuel Garcia,0.4767,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0,1,10,0
05/03/21,Samuel Garcia,0,47,10,0
05/03/21,Samuel Garcia,0.9039,0,10,0
05/03/21,Samuel Garcia,-0.6087,1,10,-0.6087
05/03/21,Samuel Garcia,0,35,10,0
05/03/21,Samuel Garcia,0.5719,0,10,0
05/03/21,Samuel Garcia,-0.2516,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0,216,10,0
05/03/21,Samuel Garcia,0.4927,0,10,0
05/03/21,Samuel Garcia,0.2263,116,10,26.2508
05/03/21,Samuel Garcia,-0.6124,11,10,-6.7364
