creacion,candidato,compound,retweet_count,numSemana,compoundRT
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.3818,1,11,0.3818
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.2484,0,11,0
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0,1,11,0
10/03/21,Clara Luz Flores,0.128,0,11,0
10/03/21,Clara Luz Flores,-0.5574,0,11,0
10/03/21,Clara Luz Flores,-0.5994,1,11,-0.5994
10/03/21,Clara Luz Flores,0.3612,2,11,0.7224
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.3919,41,11,16.0679
10/03/21,Clara Luz Flores,0.4393,618,11,271.4874
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.6597,133,11,87.7401
10/03/21,Clara Luz Flores,0.4393,618,11,271.4874
10/03/21,Clara Luz Flores,0.0516,347,11,17.9052
10/03/21,Clara Luz Flores,0.6597,133,11,87.7401
10/03/21,Clara Luz Flores,-0.2523,91,11,-22.9593
10/03/21,Clara Luz Flores,0.0516,347,11,17.9052
10/03/21,Clara Luz Flores,0.5574,511,11,284.8314
10/03/21,Clara Luz Flores,0.4172,540,11,225.288
10/03/21,Clara Luz Flores,-0.0516,2154,11,-111.1464
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.0772,0,11,0
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,-0.0772,396,11,-30.5712
10/03/21,Clara Luz Flores,-0.6808,0,11,0
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.0026,836,11,-2.1736
10/03/21,Clara Luz Flores,-0.4939,81,11,-40.0059
10/03/21,Clara Luz Flores,-0.0516,2154,11,-111.1464
10/03/21,Clara Luz Flores,-0.5574,47,11,-26.1978
10/03/21,Clara Luz Flores,0,0,11,0
10/03/21,Clara Luz Flores,0.5647,0,11,0
10/03/21,Clara Luz Flores,-0.2523,91,11,-22.9593
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,-0.8271,201,11,-166.2471
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.3182,0,11,0
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,0.0258,658,11,16.9764
10/03/21,Clara Luz Flores,0.4215,8599,11,3624.4785
10/03/21,Clara Luz Flores,-0.0516,2154,11,-111.1464
10/03/21,Clara Luz Flores,0.6249,183,11,114.3567
10/03/21,Clara Luz Flores,0,36,11,0
10/03/21,Clara Luz Flores,0.8074,145,11,117.073
10/03/21,Clara Luz Flores,-0.34,432,11,-146.88
10/03/21,Clara Luz Flores,-0.431,1,11,-0.431
10/03/21,Clara Luz Flores,0.6597,133,11,87.7401
10/03/21,Clara Luz Flores,-0.0772,396,11,-30.5712
10/03/21,Clara Luz Flores,0.8074,119,11,96.0806
10/03/21,Clara Luz Flores,-0.6249,105,11,-65.6145
