candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Samuel Garcia,0,27,07/03/21,11
Samuel Garcia,0,26,07/03/21,11
Samuel Garcia,0,117,07/03/21,11
Samuel Garcia,0,116,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,23.715,155,07/03/21,11
Samuel Garcia,23.715,155,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,84,07/03/21,11
Samuel Garcia,0,84,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,9,07/03/21,11
Samuel Garcia,0,9,07/03/21,11
Samuel Garcia,0,10,07/03/21,11
Samuel Garcia,0,10,07/03/21,11
Samuel Garcia,0,1,07/03/21,11
Samuel Garcia,0,1,07/03/21,11
Samuel Garcia,23.715,155,07/03/21,11
Samuel Garcia,23.715,155,07/03/21,11
Samuel Garcia,0.191,1,07/03/21,11
Samuel Garcia,0.191,1,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,4,07/03/21,11
Samuel Garcia,0,4,07/03/21,11
Samuel Garcia,0,13,07/03/21,11
Samuel Garcia,0,13,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0.111,3,07/03/21,11
Samuel Garcia,0.111,3,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,2,07/03/21,11
Samuel Garcia,0,2,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,1,07/03/21,11
Samuel Garcia,0,1,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,4,07/03/21,11
Samuel Garcia,0,4,07/03/21,11
Samuel Garcia,0,54,07/03/21,11
Samuel Garcia,0,54,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,1,07/03/21,11
Samuel Garcia,0,1,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,23.715,155,07/03/21,11
Samuel Garcia,23.715,155,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
