candidato,retweetTimesFear,retweetTotal,creacion,numSemana
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,14.09090911,155,07/03/21,11
Samuel Garcia,14.09090911,155,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,54,07/03/21,11
Samuel Garcia,0,54,07/03/21,11
Samuel Garcia,0,2,07/03/21,11
Samuel Garcia,0,2,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,1.625,13,07/03/21,11
Samuel Garcia,1.625,13,07/03/21,11
Samuel Garcia,0,14,07/03/21,11
Samuel Garcia,0,14,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,299,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,299,08/03/21,11
Samuel Garcia,0,299,08/03/21,11
Samuel Garcia,0,3,08/03/21,11
Samuel Garcia,0,3,08/03/21,11
Samuel Garcia,0.1,1,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,247,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,299,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,8,08/03/21,11
Samuel Garcia,0,3,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,48,08/03/21,11
Samuel Garcia,0,299,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,1,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
Samuel Garcia,0,1,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
Samuel Garcia,0,299,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,36,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,8.500000017,51,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
