creacion,retweet_count,numSemana,compoundRT
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,1146,10,518.2212
05/03/21,2,10,0
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,364,10,0
05/03/21,3263,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,181,10,67.2596
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,3,10,1.9107
05/03/21,3263,10,0
05/03/21,1146,10,518.2212
05/03/21,4,10,1.7616
05/03/21,29,10,-12.7716
05/03/21,1,10,-0.51
05/03/21,0,10,0
05/03/21,38,10,13.7256
05/03/21,0,10,0
05/03/21,35,10,0
05/03/21,126,10,-81.7236
05/03/21,1146,10,518.2212
05/03/21,126,10,-81.7236
05/03/21,181,10,67.2596
05/03/21,1,10,0.7003
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,35,10,0
05/03/21,6,10,2.7528
05/03/21,1146,10,518.2212
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,6,10,0
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,2,10,1.1148
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,312,10,0
05/03/21,41,10,20.9346
05/03/21,0,10,0
05/03/21,145,10,107.735
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,5,10,0
05/03/21,0,10,0
05/03/21,3263,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,1146,10,518.2212
05/03/21,126,10,-81.7236
05/03/21,1146,10,518.2212
05/03/21,22,10,-7.48
05/03/21,0,10,0
05/03/21,35,10,0
05/03/21,0,10,0
05/03/21,202,10,0
05/03/21,202,10,0
05/03/21,0,10,0
05/03/21,1,10,0.7819
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,146,10,-58.6774
05/03/21,3263,10,0
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,221,10,-65.416
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,3263,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,39,10,-4.719
05/03/21,112,10,42.7616
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,0,10,0
05/03/21,176,10,69.8368
05/03/21,157,10,27.9303
05/03/21,112,10,42.7616
05/03/21,364,10,0
05/03/21,157,10,27.9303
05/03/21,6,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,145,10,107.735
05/03/21,22,10,-7.48
05/03/21,2,10,0.8038
05/03/21,16,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1146,10,518.2212
05/03/21,126,10,-81.7236
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,68,10,53.4072
05/03/21,1,10,0.3404
05/03/21,1146,10,518.2212
05/03/21,145,10,107.735
05/03/21,158,10,0
05/03/21,157,10,27.9303
05/03/21,21,10,8.0178
05/03/21,186,10,0
05/03/21,4,10,-1.0928
05/03/21,6,10,0
05/03/21,6,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,18,10,-4.9176
05/03/21,47,10,0
05/03/21,1,10,0
05/03/21,68,10,-40.7592
05/03/21,1,10,0.8001
05/03/21,2,10,0
05/03/21,1,10,0
05/03/21,152,10,-41.5264
05/03/21,2,10,1.2972
05/03/21,0,10,0
05/03/21,152,10,-41.5264
05/03/21,0,10,0
05/03/21,4,10,1.7616
05/03/21,2,10,-0.0516
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,93,10,33.5916
05/03/21,0,10,0
05/03/21,152,10,-41.5264
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1,10,0.8129
05/03/21,599,10,326.6946
05/03/21,599,10,326.6946
05/03/21,0,10,0
05/03/21,599,10,326.6946
05/03/21,599,10,326.6946
05/03/21,0,10,0
05/03/21,60,10,10.674
05/03/21,599,10,326.6946
05/03/21,599,10,326.6946
05/03/21,7,10,0
05/03/21,0,10,0
05/03/21,599,10,326.6946
05/03/21,152,10,-41.5264
05/03/21,2,10,0.6364
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,5,10,0
05/03/21,60,10,10.674
05/03/21,3,10,1.1517
05/03/21,0,10,0
05/03/21,599,10,326.6946
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,5,10,2.0095
05/03/21,599,10,326.6946
05/03/21,5,10,-0.562
05/03/21,4,10,1.7616
05/03/21,0,10,0
05/03/21,599,10,326.6946
05/03/21,0,10,0
05/03/21,46,10,38.2536
05/03/21,76,10,60.9216
05/03/21,0,10,0
05/03/21,1,10,0.7003
05/03/21,0,10,0
05/03/21,6,10,2.7528
05/03/21,0,10,0
05/03/21,599,10,326.6946
05/03/21,76,10,60.9216
05/03/21,76,10,60.9216
05/03/21,46,10,0
05/03/21,3,10,2.3349
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,2,10,1.672
05/03/21,599,10,326.6946
05/03/21,39,10,4.992
05/03/21,0,10,0
05/03/21,93,10,33.5916
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,24,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,39,10,-4.719
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,2,10,-0.6364
05/03/21,0,10,0
05/03/21,13,10,-9.3392
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,599,10,326.6946
05/03/21,0,10,0
05/03/21,6,10,0
05/03/21,6,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,2,10,0
05/03/21,1,10,0
05/03/21,11,10,8.2566
05/03/21,0,10,0
05/03/21,18,10,-4.5
05/03/21,0,10,0
05/03/21,3,10,1.2057
05/03/21,0,10,0
