cve_ent_mun,poblacion,nombre
22003,14789,Arroyo Seco
23007,31385,Lazaro Cardenas
23008,239850,Solidaridad
23009,36866,Tulum
24008,22722,Cerritos
24009,4762,Cerro de San Pedro
24010,35725,Ciudad del Maiz
24011,47527,Ciudad Fernandez
24012,21674,Tancanhuitz
24013,187772,Ciudad Valles
24015,21918,Charcas
24016,45721,Ebano
24017,27705,Guadalcazar
24019,5775,Lagunillas
24046,18602,Villa de Arriaga
24047,10198,Villa de Guadalupe
24051,15552,Villa Hidalgo
24052,10605,Villa Juarez
24053,38871,Axtla de Terrazas
24057,32154,Matlapa
26006,2958,Arizpe
26008,1220,Bacadehuachi
26022,1066,Cucurpe
26029,171035,Guaymas
26033,86918,Huatabampo
26036,33896,Magdalena
26040,2172,Nacori Chico
26045,2949,Opodepe
26051,5488,Rosario
26052,6122,Sahuaripa
26055,206982,San Luis Rio Colorado
26062,1222,Suaqui Grande
26064,1763,Trincheras
26058,17813,Santa Ana
28037,26467,Soto la Marina
28038,334535,Tampico
28039,30885,Tula
29015,41831,Ixtacuixtla de Mariano Matamoros
29016,7759,Ixtenco
29017,11601,Mazatecochco de Jose Maria Morelos
29018,41267,Contla de Juan Cuamatzi
26069,6387,Yecora
26071,23843,Benito Juarez
26072,15677,San Ignacio Rio Muerto
27001,64346,Balancan
28005,4735,Burgos
28007,16332,Camargo
28008,4410,Casas
28010,1998,Cruillas
28011,9689,Gomez Farias
28012,46374,Gonzalez
28013,16524,GÃ¼emez
28014,4786,Guerrero
28015,16640,Gustavo Diaz Ordaz
28016,24504,Hidalgo
29055,3328,San Lucas Tecopilco
30012,8469,Amatitlan
30013,30103,Naranjos Amatlan
30014,48007,Amatlan de los Reyes
30015,35909,Angel R. Cabada
30016,28481,La Antigua
30017,4288,Apazapan
30093,17572,Jilotepec
30094,41108,Juan Rodriguez Clara
30095,16662,Juchique de Ferrer
29020,10588,Sanctorum de Lazaro Cardenas
29021,19402,Nanacamilpa de Mariano Arista
29022,6934,Acuamanala de Miguel Hidalgo
29023,27294,Nativitas
29024,29017,Panotla
29025,82542,San Pablo del Monte
29026,22062,Santa Cruz Tlaxcala
30097,20987,Lerdo de Tejada
29028,26065,Teolocholco
29029,14396,Tepeyanco
29030,16330,Terrenate
29031,34866,Tetla de la Solidaridad
29032,15237,Tetlatlahuca
29033,103435,Tlaxcala
29043,41773,Yauhquemehcan
29044,47148,Zacatelco
30177,11825,Tlacolulan
30178,14121,Tlacotalpan
30179,4156,Tlacotepec de Mejia
30180,12158,Tlachichilco
30181,40083,Tlalixcoyan
30182,19767,Tlalnelhuayocan
30183,65087,Tlapacoyan
30184,8035,Tlaquilpa
29046,4836,Emiliano Zapata
29050,11502,San Francisco Tetlanohcan
29052,6421,San Jose Teacalco
30001,9131,Acajete
30019,6685,Astacinga
30020,11318,Atlahuilco
30021,25040,Atoyac
30022,22414,Atzacan
30023,52831,Atzalan
30024,16443,Tlaltetela
30025,28005,Ayahualulco
30026,24692,Banderilla
30042,5902,Colipa
30043,21159,Comapa
30044,228703,Cordoba
30045,59870,Cosamaloapan de Carpio
30046,17107,Cosautlan de Carvajal
30047,60872,Coscomatepec
30048,145830,Cosoleacaque
30049,21972,Cotaxtla
30050,17506,Coxquihui
30051,23502,Coyutla
30052,12835,Cuichapa
30053,29555,Cuitlahuac
30054,13110,Chacaltianguis
30055,14137,Chalma
30056,7031,Chiconamel
30065,84197,Emiliano Zapata
30066,28537,Espinal
30067,19443,Filomeno Mata
30068,70428,Fortin
30069,25874,Gutierrez Zamora
30070,19739,Hidalgotitlan
30071,63649,Huatusco
30072,22587,Huayacocotla
30073,45332,Hueyapan de Ocampo
30099,18845,Maltrata
30100,24849,Manlio Fabio Altamirano
30101,38503,Mariano Escobedo
30102,111164,Martinez de la Torre
30103,12950,Mecatlan
30104,17526,Mecayapan
30105,83280,Medellin
30106,4928,Miahuatlan
30117,25159,Omealca
30121,24470,Ozuluama de MascareÃ±as
30122,18172,Pajapan
30123,105926,Panuco
30124,166496,Papantla
30132,20667,Las Vigas de Ramirez
30137,6200,Los Reyes
30139,6526,Saltabarranca
30186,7326,Tomatlan
30187,6001,Tonayan
30188,18306,Totutla
30189,169763,Tuxpan
30191,32478,Ursulo Galvan
30195,5685,Xoxocotla
30200,14056,Zentla
30201,45823,Zongolica
30202,15258,Zontecomatlan de Lopez y Fuentes
30203,15708,Zozocolco de Hidalgo
30204,50680,Agua Dulce
30205,20600,El Higo
30207,48712,Tres Valles
30208,25991,Carlos A. Carrillo
30209,16248,Tatahuicapan de Juarez
30210,30449,Uxpanapa
30211,31464,San Rafael
30212,15037,Santiago Sochiapan
31006,9560,Buctzotz
31050,963861,Merida
31008,4328,Calotmul
31011,8260,Celestun
31058,26894,Peto
31059,63037,Progreso
31017,4896,Chankom
31019,39000,Chemax
31065,2072,San Felipe
31028,2892,Dzilam de Bravo
31029,6543,Dzilam Gonzalez
31030,4034,Dzitas
31032,17300,Espita
31036,8243,Homun
31040,28872,Izamal
31047,6001,Mani
31052,39052,Motul
31101,58139,Uman
31102,86205,Valladolid
31061,3811,Rio Lagartos
32037,18789,Panuco
32038,76871,Pinos
32039,67507,Rio Grande
32040,23283,Sain Alto
31066,4278,Santa Elena
31067,10360,Seye
31069,9485,Sotuta
31071,1825,Sudzal
31079,45441,Tekax
31081,3443,Tekom
31084,7746,Temax
31085,16593,Temozon
31089,42960,Ticul
31091,12771,Tinum
31092,7614,Tixcacalcupul
31093,19340,Tixkokob
31096,82742,Tizimin
31098,15686,Tzucacab
31099,4368,Uayma
31104,16313,Yaxcaba
32001,6342,Apozol
32002,5097,Apulco
32042,65330,Sombrerete
32043,1429,Susticacan
32044,16372,Tabasco
32045,9180,Tepechitlan
32046,7483,Tepetongo
32047,5172,Teul de Gonzalez Ortega
32048,28112,Tlaltenango de Sanchez Roman
32049,34792,Valparaiso
32050,10536,Vetagrande
32051,37099,Villa de Cos
1001,961977,Aguascalientes
1002,50864,Asientos
1003,60760,Calvillo
1008,9661,San Jose de Gracia
1009,22743,Tepezala
1010,21947,El Llano
1011,51568,San Francisco de los Romo
2001,536143,Ensenada
2002,1087478,Mexicali
2003,113857,Tecate
2004,1789531,Tijuana
2005,107859,Playas de Rosarito
3001,83051,Comondu
3002,67727,Mulege
3003,301961,La Paz
3008,330312,Los Cabos
3009,21657,Loreto
4001,63298,Calkini
4002,317424,Campeche
4003,275478,Carmen
4004,99945,Champoton
4005,34683,Hecelchakan
7046,43292,Jiquipilas
7112,37811,San Juan Cancuc
17004,91043,Ayala
18006,31770,Ixtlan del Rio
13018,25460,Chapulhuacan
16015,18450,Coalcoman de Vazquez Pallares
16016,21736,Coeneo
16017,35877,Contepec
16018,9487,Copandaro
1004,16918,Cosio
1005,130184,Jesus Maria
1006,50032,Pabellon de Arteaga
1007,57981,Rincon de Romos
4006,44051,Hopelchen
4007,9868,Palizada
4008,11930,Tenabo
4009,63495,Escarcega
5002,163157,AcuÃ±a
16041,15916,Irimbo
16042,13523,Ixtlan
16043,72669,Jacona
16044,13350,Jimenez
16067,17752,Penjamillo
16092,14082,Tiquicheo de Nicolas Romero
16109,3343,Zinaparo
8030,8603,Guazapares
18010,37093,Rosamorada
14119,30432,Zacoalco de Torres
16019,19674,Cotija
16020,31334,Cuitzeo
16021,13006,Charapan
16022,23273,Charo
15115,54531,Xonacatlan
4010,31723,Calakmul
4011,48722,Candelaria
5001,1130,Abasolo
5003,24705,Allende
5004,25477,Arteaga
5005,1945,Candela
5006,30568,CastaÃ±os
5019,9430,Morelos
5020,75647,Muzquiz
16045,34725,Jiquilpan
5007,14623,Cuatro Cienegas
16050,92676,Maravatio
16051,14517,Marcos Castellanos
16052,192153,Lazaro Cardenas
16053,825585,Morelia
20049,1209,Magdalena Ocotlan
16088,119032,Tarimbaro
16089,24911,Tepalcatepec
7072,35144,Pueblo Nuevo Solistahuacan
16112,172015,Zitacuaro
8048,25596,Namiquipa
11024,12620,Pueblo Nuevo
14006,64979,Ameca
5008,3353,Escobedo
5009,64483,Francisco I. Madero
5021,7152,Nadadores
16059,8480,Nuevo Urecho
16060,10290,Numaran
16061,25418,Ocampo
16062,20338,Pajacuaran
16063,16536,Panindicuaro
16064,27992,Paracuaro
16065,39341,Paracho
16066,98122,Patzcuaro
5010,87942,Frontera
5029,2614,Sacramento
5030,869184,Saltillo
5031,25820,San Buenaventura
5032,47315,San Juan de Sabinas
16068,29376,Periban
5011,13501,General Cepeda
5012,1964,Guerrero
7008,30925,Angel Albino Corzo
7009,44264,Arriaga
16069,110385,La Piedad
16070,16103,Purepero
16071,70372,Puruandiro
16072,14356,Querendaro
16073,29118,Quiroga
16074,10935,Cojumatlan de Regules
16075,73199,Los Reyes
16076,81371,Sahuayo
16077,18936,San Lucas
16078,13124,Santa Ana Maya
16079,51652,Salvador Escalante
16080,19980,Senguio
16081,9161,Susupuato
16082,81105,Tacambaro
16083,32707,Tancitaro
16084,30945,Tangamandapio
16085,35305,Tangancicuaro
16086,16286,Tanhuato
16087,15465,Taretan
5013,1888,Hidalgo
5014,10994,Jimenez
7036,7882,La Grandeza
7037,38185,Huehuetan
5015,1722,Juarez
5016,1984,Lamadrid
5017,119492,Matamoros
7038,25616,Huixtan
7039,25161,Huitiupan
7040,59209,Huixtla
7041,49602,La Independencia
7042,12317,Ixhuatan
7043,11777,Ixtacomitan
7044,29778,Ixtapa
7045,5988,Ixtapangajoya
5018,251346,Monclova
7047,22619,Jitotol
7048,23527,Juarez
7049,25725,Larrainzar
7050,5424,La Libertad
7051,51875,Mapastepec
7052,134759,Las Margaritas
16090,15878,Tingambato
16091,15337,TingÃ¼indin
5022,33101,Nava
5023,11628,Ocampo
7070,15501,El Porvenir
7071,31522,Villa Comaltitlan
5024,48694,Parras
5025,177255,Piedras Negras
7106,70992,Venustiano Carranza
7107,85784,Villa Corzo
7108,115691,Villaflores
7109,41655,Yajalon
7110,7896,San Lucas
7111,44824,Zinacantan
5026,3654,Progreso
5027,103252,Ramos Arizpe
16093,30331,Tlalpujahua
16094,6654,Tlazazalca
16095,12593,Tocumbo
16096,6992,Tumbiscatio
16097,32588,Turicato
16098,28471,Tuxpan
16099,15964,Tuzantla
16100,15139,Tzintzuntzan
16101,9026,Tzitzio
16102,354727,Uruapan
16103,26074,Venustiano Carranza
16104,17460,Villamar
16105,21677,Vista Hermosa
16106,33136,Yurecuaro
16107,79809,Zacapu
16108,207985,Zamora
5028,69500,Sabinas
16110,49471,Zinapecuaro
16111,18251,Ziracuaretiro
5033,117370,San Pedro
16113,27504,Jose Sixto Verduzco
17001,18861,Amacuzac
17002,24153,Atlatlahucan
17003,38236,Axochiapan
5034,7740,Sierra Mojada
17019,28871,Tepalcingo
12055,112561,Taxco de Alarcon
15051,159948,Lerma
16040,17595,Indaparapeo
5037,6859,Villa Union
7113,7152,Aldama
7114,21603,Benemerito de las Americas
5038,14203,Zaragoza
6001,32363,Armeria
6002,169188,Colima
6003,23902,Comala
6004,22167,Coquimatlan
6005,32829,Cuauhtemoc
6006,6078,Ixtlahuacan
6007,203306,Manzanillo
6008,9670,Minatitlan
6009,134631,Tecoman
6010,151019,Villa de Alvarez
7001,19856,Acacoyagua
7002,34494,Acala
7003,31069,Acapetahua
7004,35982,Altamirano
7005,21836,Amatan
8020,8541,Chinipas
8021,160245,Delicias
8022,2770,Dr. Belisario Dominguez
8023,7056,Galeana
8024,4293,Santa Isabel
8025,9599,Gomez Farias
8026,2787,Gran Morelos
8027,49926,Guachochi
8028,5080,Guadalupe
8029,58658,Guadalupe y Calvo
7006,33860,Amatenango de la Frontera
8031,42409,Guerrero
8032,117624,Hidalgo del Parral
8033,1070,Huejotitan
8034,7488,Ignacio Zaragoza
8035,11778,Janos
8036,45709,Jimenez
8037,1464930,Juarez
8038,4913,Julimes
8039,4342,Lopez
8040,30936,Madera
8041,1731,Maguarichi
8042,1562,Manuel Benavides
8043,3306,Matachi
8044,4847,Matamoros
8045,48242,Meoqui
8046,8309,Morelos
8047,5520,Moris
7007,10779,Amatenango del Valle
7010,8324,Bejucal de Ocampo
8049,2831,Nonoava
8050,67320,Nuevo Casas Grandes
8051,7989,Ocampo
8052,29996,Ojinaga
17009,20372,Huitzilac
17010,18361,Jantetelco
17011,227649,Jiutepec
17012,61366,Jojutla
17013,16732,Jonacatepec
17014,10691,Mazatepec
17015,28263,Miacatlan
17016,19683,Ocuituco
17017,70917,Puente de Ixtla
17018,123812,Temixco
7011,22028,Bella Vista
7013,38101,Bochil
7014,24374,El Bosque
7015,50439,Cacahoatan
7016,19006,Catazaja
7017,93518,Cintalapa
7018,10035,Coapilla
7019,170498,Comitan de Dominguez
7020,50535,La Concordia
7021,24030,Copainala
7022,18016,Chalchihuitan
7023,95357,Chamula
9013,418060,Xochimilco
17020,51373,Tepoztlan
17021,8326,Tetecala
17022,22015,Tetela del Volcan
20050,3644,Magdalena PeÃ±asco
10010,4165,Hidalgo
7024,13332,Chanal
7025,8248,Chapultenango
7026,43453,Chenalho
7027,111223,Chiapa de Corzo
7028,6406,Chiapilla
10003,4649,Coneto de Comonfort
10004,37479,Cuencame
10005,695597,Durango
10006,10812,General Simon Bolivar
10007,369760,Gomez Palacio
10008,37792,Guadalupe Victoria
10009,10512,Guanacevi
7029,5605,Chicoasen
7030,38122,Chicomuselo
7031,140023,Chilon
7032,34628,Escuintla
10011,5392,Inde
10012,164763,Lerdo
10013,28301,Mapimi
10014,40593,Mezquital
10015,13877,Nazas
10016,20881,Nombre de Dios
10017,10333,Ocampo
10018,12281,El Oro
10019,5513,Otaez
10020,12907,Panuco de Coronado
10021,11538,PeÃ±on Blanco
10022,26935,Poanas
10023,53006,Pueblo Nuevo
10024,14407,Rodeo
10025,3459,San Bernardo
10026,20114,San Dimas
10027,5917,San Juan de Guadalupe
10028,13310,San Juan del Rio
18003,12736,Amatlan de CaÃ±as
18004,81920,Compostela
18005,13540,Huajicori
7033,8278,Francisco Leon
7034,80805,Frontera Comalapa
7035,15741,Frontera Hidalgo
10033,6766,Suchil
10034,27368,Tamazula
10035,11545,Tepehuanes
18007,20016,Jala
18008,62038,Xalisco
18009,45317,Del Nayar
7053,8552,Mazapa de Madero
11010,12998,Coroneo
11011,101319,Cortazar
11012,29959,Cueramaro
11013,25606,Doctor Mora
11014,160771,Dolores Hidalgo Cuna de la Independencia Nacional
11015,198035,Guanajuato
11016,22612,Huanimaro
11017,610700,Irapuato
11018,41154,Jaral del Progreso
11019,51332,Jerecuaro
11020,1679610,Leon
11021,54378,Moroleon
11022,24758,Ocampo
11023,159968,Penjamo
7054,31856,Mazatan
11025,86012,Purisima del Rincon
11026,62603,Romita
11027,293293,Salamanca
11028,106978,Salvatierra
11029,41588,San Diego de la Union
11030,118417,San Felipe
11031,125904,San Francisco del Rincon
11032,83562,San Jose Iturbide
11033,127678,San Luis de la Paz
11034,5584,Santa Catarina
11035,88644,Santa Cruz de Juventino Rosas
11036,7327,Santiago Maravatio
11037,201020,Silao de la Victoria
7055,6191,Metapa
11041,67184,Uriangato
11042,153094,Valle de Santiago
11043,21521,Victoria
11044,62918,Villagran
11045,12285,Xichu
11046,73948,Yuriria
12001,840795,Acapulco de Juarez
12002,27366,Ahuacuotzingo
12003,38895,Ajuchitlan del Progreso
12004,20112,Alcozauca de Guerrero
18011,26928,Ruiz
18012,48024,San Blas
18013,8231,San Pedro Lagunillas
18014,25510,Santa Maria del Oro
18015,106038,Santiago Ixcuintla
18016,43043,Tecuala
18017,445889,Tepic
18018,33358,Tuxpan
18019,14962,La Yesca
18020,174510,Bahia de Banderas
20051,4782,Magdalena Teitipac
13028,139683,Huejutla de Reyes
15013,557108,Atizapan de Zaragoza
16031,17519,Epitacio Huerta
7056,13286,Mitontic
7057,79732,Motozintla
12005,6959,Alpoyeca
12006,11719,Apaxtla
7058,4726,Nicolas Ruiz
7059,239322,Ocosingo
12007,32547,Arcelia
12008,8914,Atenango del Rio
7060,13773,Ocotepec
12011,62574,Atoyac de Alvarez
12012,70242,Ayutla de los Libres
12014,15926,Benito Juarez
12015,13737,Buenavista de Cuellar
12016,12661,Coahuayutla de Jose Maria Izazaga
12017,14050,Cocula
12018,14641,Copala
12019,15096,Copalillo
12020,20779,Copanatoyac
12021,78931,Coyuca de Benitez
12022,40408,Coyuca de Catalan
12023,27919,Cuajinicuilapa
14041,6197,Huejucar
26013,1797,Banamichi
18002,17226,Ahuacatlan
7063,4110,Osumacinta
7064,51731,Oxchuc
7065,131491,Palenque
7066,24107,Pantelho
7067,13370,Pantepec
7068,34340,Pichucalco
7069,58167,Pijijiapan
12053,50859,San Marcos
12054,28289,San Miguel Totolapan
7073,10564,Rayon
7074,49480,Reforma
7075,30874,Las Rosas
7076,29348,Sabanilla
7077,68779,Salto de Agua
7078,231345,San Cristobal de las Casas
7079,42939,San Fernando
7080,39536,Siltepec
7081,48046,Simojovel
7082,15524,Sitala
7083,20161,Socoltenango
7084,8812,Solosuchiapa
7085,11749,Soyalo
7086,26510,Suchiapa
7087,42201,Suchiate
7088,2601,Sunuapa
7089,384312,Tapachula
7090,4346,Tapalapa
12056,47593,Tecoanapa
12057,66974,Tecpan de Galeana
12058,59123,Teloloapan
12059,32914,Tepecoacuilco de Trujano
12060,14890,Tetipac
12061,44479,Tixtla de Guerrero
12062,24221,Tlacoachistlahuaca
12063,10420,Tlacoapa
12064,12711,Tlalchapa
19024,6604,General Zaragoza
19025,91913,General Zuazua
7091,14197,Tapilula
7101,662591,Tuxtla Gutierrez
7102,45900,Tuxtla Chico
7103,34867,Tuzantan
7104,16874,Tzimol
12071,30222,Xochistlahuaca
12072,12587,Zapotitlan Tablas
12073,18228,Zirandaro
12074,23871,Zitlala
12075,52924,Eduardo Neri
12076,38738,Acatepec
12077,14269,Marquelia
12078,19337,Cochoapa el Grande
12079,17905,Jose Joaquin de Herrera
19026,710413,Guadalupe
19027,1998,Los Herreras
19028,1712,Higueras
14050,49419,Jocotepec
16005,11768,Angangueo
7105,16780,Union Juarez
7115,13755,Maravilla Tenejapa
7116,12226,Marques de Comillas
13019,19638,Chilcuautla
13020,2972,Eloxochitlan
13021,15803,Emiliano Zapata
13022,16053,Epazoyucan
13023,38879,Francisco I. Madero
13024,19077,Huasca de Ocampo
13025,23193,Huautla
13026,15009,Huazalingo
13027,27313,Huehuetla
7117,8367,Montecristo de Guerrero
13029,49792,Huichapan
13030,99735,Ixmiquilpan
13031,14478,Jacala de Ledezma
13032,12806,Jaltocan
13033,3412,Juarez Hidalgo
13034,10256,Lolotla
13035,12508,Metepec
13036,10333,San Agustin Metzquititlan
13037,22194,Metztitlan
13038,9665,Mineral del Chico
13039,15737,Mineral del Monte
13040,10915,La Mision
13041,49931,Mixquiahuala de Juarez
13042,12518,Molango de Escamilla
13043,7394,Nicolas Flores
13044,18122,Nopala de Villagran
13045,10555,Omitlan de Juarez
13046,41749,San Felipe Orizatlan
13048,280312,Pachuca de Soto
13049,18829,Pisaflores
13050,25375,Progreso de Obregon
13051,185907,Mineral de la Reforma
13052,39180,San Agustin Tlaxiaca
13053,20082,San Bartolo Tutotepec
13054,37993,San Salvador
13055,18386,Santiago de Anaya
13056,40098,Santiago Tulantepec de Lugo Guerrero
13057,17377,Singuilucan
13058,17607,Tasquillo
13059,40515,Tecozautla
7118,5845,San Andres Duraznal
7119,3975,Santiago el Pinar
8001,12953,Ahumada
8002,26197,Aldama
8003,9453,Allende
13060,19646,Tenango de Doria
8004,19050,Aquiles Serdan
8005,26409,Ascension
8006,6729,Bachiniva
8007,17825,Balleza
8008,12939,Batopilas
8009,29835,Bocoyna
8010,25001,Buenaventura
8011,55255,Camargo
8012,10083,Carichi
8013,12143,Casas Grandes
8014,2364,Coronado
8015,1819,Coyame del Sotol
8016,4226,La Cruz
8017,181552,Cuauhtemoc
8018,5098,Cusihuiriachi
8019,949395,Chihuahua
8053,5140,Praxedis G. Guerrero
13062,32819,Tepehuacan de Guerrero
13063,93651,Tepeji del Rio de Ocampo
13064,11792,Tepetitlan
11009,87191,Comonfort
8057,2445,San Francisco de Borja
8058,2830,San Francisco de Conchos
8059,5502,San Francisco del Oro
14007,9961,San Juanito de Escobedo
14008,80444,Arandas
14009,21022,El Arenal
14010,7149,Atemajac de Brizuela
14012,4257,Atenguillo
14013,64746,Atotonilco el Alto
14014,8721,Atoyac
14015,65556,Autlan de Navarro
14016,40681,Ayotlan
14017,13379,Ayutla
14018,69931,La Barca
14019,8193,BolaÃ±os
14020,11100,Cabo Corrientes
14021,23230,Casimiro Castillo
14022,44108,Cihuatlan
14023,113944,Zapotlan el Grande
14024,28567,Cocula
