distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,RSP,MORENA,PES,FM,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PT_MORENA_PVEM,PT_MORENA,PT_PVEM,PVEM_MORENA,CAND_IND_01,CAND_IND_02,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,URBANA,RURAL,VPM,JHH
2205,5,22,77296,37170,7014,9214,5295,4165,4403,44981,4597,4597,826,416,213,35,1223,493,73,290,0,0,163,10848,208715,321128,188,349,0,1
2301,1,23,28104,25680,5377,4288,10928,7124,2703,91200,5885,5885,1118,371,214,112,1764,908,94,619,0,0,182,7438,195339,338233,411,173,1,1
2302,2,23,28765,25041,13194,2658,6304,5135,5295,77043,7625,7625,1417,648,166,120,1901,888,109,764,0,0,97,7402,185886,272867,258,247,1,1
2303,3,23,11757,6897,2792,9493,5278,3781,2555,90297,6305,6305,525,126,84,53,1974,1162,94,771,0,0,86,4883,149864,264634,472,4,1,1
2304,4,23,33406,13483,3551,9672,6780,4961,3076,96496,6377,6377,730,191,134,39,2040,1224,65,655,0,0,259,5932,190116,332932,479,74,1,1
2401,1,24,33933,43991,8558,17581,7263,9219,3788,30887,1824,1824,621,395,644,106,554,421,45,181,0,0,55,11547,173218,262221,151,377,1,1
2402,2,24,18122,35428,58136,11010,5470,3719,4923,40046,3737,3737,845,936,202,316,809,349,38,241,0,0,155,10194,196210,321336,331,214,1,1
2403,3,24,40558,44432,9309,11417,8817,4514,3420,27897,1680,1680,696,562,495,71,641,414,78,219,0,0,65,10539,168683,263906,169,399,1,1
2404,4,24,30033,28746,9532,6841,5267,4997,6838,48688,2934,2934,385,415,185,64,702,449,40,320,0,0,90,9184,157092,238975,239,209,1,1
2405,5,24,63823,20777,18852,8055,4844,3796,4380,47750,3780,3780,512,394,228,67,810,365,34,236,0,0,295,9737,189448,311399,464,58,1,1
2406,6,24,41273,15378,21139,10089,5432,4072,5899,55144,4583,4583,365,348,130,54,920,436,39,295,0,0,280,9384,175847,304359,474,35,1,1
2407,7,24,42670,46405,13660,5897,7210,5771,8690,36636,2886,2886,646,733,281,107,955,476,101,348,0,0,24,16893,193141,272130,57,470,1,1
2501,1,25,26848,39810,3401,3579,4058,4396,3229,71395,1922,1922,468,271,167,39,1345,678,76,336,0,0,51,5536,169212,293360,443,176,1,1
2502,2,25,32028,34031,2751,2516,5823,3740,4169,93771,2681,2681,637,202,174,40,2184,1003,107,630,6158,0,25,4737,199205,321131,536,136,1,1
2503,3,25,23880,54729,9432,3560,8151,8052,4151,73824,3413,3413,789,387,216,128,1703,924,127,554,0,0,37,7905,204193,321025,394,484,1,1
2504,4,25,18050,54544,3548,2823,6222,5852,4546,85806,2599,2599,359,109,145,34,1934,925,114,689,0,0,39,6365,197234,304001,390,372,1,1
2505,5,25,14899,33103,2136,3624,5556,4560,3521,87706,2599,2599,421,75,107,26,2051,813,82,485,11891,0,82,3939,179352,295854,559,34,1,1
2506,6,25,24235,40433,2959,6776,5119,6496,3400,71898,2530,2530,560,177,241,51,1590,682,76,414,0,0,66,5965,175381,294027,436,244,1,1
2507,7,25,16040,36840,2525,3720,5828,4927,2941,82015,2974,2974,393,128,107,43,2035,838,79,494,0,0,119,4531,168215,305860,549,119,1,1
2601,1,26,23142,28620,2215,3101,4641,4837,2519,54102,2608,2608,218,343,68,35,1151,731,60,318,0,0,77,4687,134665,288070,397,105,1,1
2602,2,26,26986,36799,2699,2850,9572,9405,2673,58578,2244,2244,307,426,136,56,950,848,66,242,0,0,56,5639,162585,333282,492,77,1,1
2603,3,26,21698,32008,1814,3407,4184,9106,3017,62849,2618,2618,415,172,129,35,1130,639,56,300,0,0,93,4906,150204,304062,473,32,1,1
2604,4,26,21658,42832,4743,5669,5845,5440,4961,60386,1665,1665,202,671,41,41,1095,801,66,317,0,0,46,6165,165384,286917,301,251,1,1
2605,5,26,22781,37041,1619,3646,4223,9465,2941,61285,2467,2467,346,198,114,31,1046,643,30,255,0,0,109,5138,155100,293757,459,47,1,1
2606,6,26,7045,29176,1610,3044,4530,9033,2771,79142,1813,1813,141,93,58,31,1525,867,68,423,18256,0,32,4408,165465,319562,453,103,1,1
2607,7,26,21266,39021,3485,1882,4465,4271,2582,65019,1158,1158,213,547,112,49,1272,881,80,387,0,0,31,5694,154702,267482,244,234,1,1
2701,1,27,3466,16657,12407,13512,2921,2795,3363,101618,6352,6352,451,160,37,110,1291,391,73,518,1257,0,68,6937,174384,244672,147,311,0,1
2702,2,27,1704,18951,36425,4736,3131,2375,1404,124854,1648,1648,513,191,19,242,1875,644,90,509,1319,0,145,7841,208616,300820,271,274,0,1
2703,3,27,2105,20329,28110,4373,2688,2264,1379,98955,1316,1316,1056,249,32,227,1468,541,47,326,1517,0,18,5302,172302,240831,144,272,0,1
2704,4,27,4624,16598,6098,4908,3981,3863,3193,162293,2806,2806,366,86,21,99,2505,1131,79,613,0,0,119,5543,218926,309831,433,103,0,1
