distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PVEM-PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,LISTA_NOMINAL_CASILLA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021,PARTICIPACION
2403,3,24,0,0,0,0,0,4.7,0,2.75,1.6,1.22,0,41.64,42.06,0.03,6,274741,1,1,160406,PT_MORENA_PES,PVEM_PT_MORENA,58.38
2404,4,24,0,0,0,0,0,3.18,0,4.21,13.56,3.48,0,24.75,45.54,0.08,5.19,246737,1,1,149561,PT_MORENA_PES,PVEM_PT_MORENA,60.62
2405,5,24,0,0,0,0,0,2.94,0,1.15,1.08,1.26,0,49.37,40.82,0.15,3.23,326190,1,1,182478,PAN_PRD_MC,PAN_PRI_PRD,55.94
2406,6,24,0,0,0,0,0,3.47,0,1.58,1.85,2.08,0,30.64,56.21,0.18,4,318876,1,1,168497,PT_MORENA_PES,PVEM_PT_MORENA,52.84
2407,7,24,0,0,0,0,0,2.61,0,2.84,11.29,0.98,0,30.21,44.6,0.03,7.44,284946,1,1,197811,PT_MORENA_PES,PVEM_PT_MORENA,69.42
3201,1,32,0,0,0,0,0,2.51,0,3.46,0.65,4.19,0,40.68,45.24,0.03,3.24,288032,1,1,153019,PAN,PVEM_PT_MORENA,53.13
3202,2,32,0,0,0,0,0,3.97,0,2.78,0.59,2.43,0,44.4,42.3,0.04,3.5,317403,1,1,180218,PT_MORENA_PES,PAN_PRI_PRD,56.78
3203,3,32,0,0,0,0,0,3.78,0,5.15,0.89,3.19,0,37.62,45.17,0.05,4.13,301068,1,1,180106,PAN,PVEM_PT_MORENA,59.82
3204,4,32,0,0,0,2.75,9.87,3.85,34.91,2.35,1.11,4.89,0,36.25,0,0.08,3.95,304537,0,1,180280,PAN-PRI-PRD,PAN_PRI_PRD,59.2
2501,1,25,0,0,0,0,0,6.1,0,2.26,1.17,2.39,0,29.87,54.92,0.03,3.27,308879,1,1,142183,PT_MORENA_PES,PVEM_PT_MORENA,46.03
2502,2,25,0,0,0,0,0,4.72,0,1.39,1.49,2.37,0,31.61,55.68,0.04,2.71,339443,1,1,164931,PT_MORENA_PES,PVEM_PT_MORENA,48.59
2503,3,25,0,0,0,0,0,3.88,0,2.25,2.09,1.13,0,35.7,51.68,0.01,3.26,332654,1,1,178133,PT_MORENA_PES,PVEM_PT_MORENA,53.55
2504,4,25,0,0,0,4.6,0.45,2.53,48.77,1.69,1.23,0.87,0,36.94,0,0.02,2.9,315556,0,1,161892,PT_MORENA_PES,MORENA,51.3
2505,5,25,0,0,0,0,0,4.42,0,2.22,0.96,2.45,0,35.81,51.71,0.08,2.36,319006,1,1,156354,PT_MORENA_PES,PVEM_PT_MORENA,49.01
2506,6,25,0,0,0,2.39,4.99,3.47,45.02,4.32,0.89,2.05,0,33.27,0,0.04,3.56,312006,0,1,161256,PT_MORENA_PES,MORENA,51.68
2507,7,25,0,0,0,0,0,4.59,0,2.16,1.22,1.5,0,35.7,51.82,0.12,2.89,324610,1,1,141475,PT_MORENA_PES,PVEM_PT_MORENA,43.58
2601,1,26,0,0,0,4.86,3.62,5.47,42.23,3.71,0.83,3.36,0,32.62,0,0.13,3.16,302495,0,1,114517,PRI_PVEM_NA,MORENA,37.86
2602,2,26,0,0,0,0,0,6.57,0,7.28,1.38,1.82,0,34.88,44.53,0.07,3.46,352802,1,1,137781,PRI_PVEM_NA,PVEM_PT_MORENA,39.05
2603,3,26,0,0,0,0,0,12.15,0,1.1,0.9,1.79,0,33.04,48.37,0.1,2.54,327277,1,1,135851,PAN_PRD_MC,PVEM_PT_MORENA,41.51
2604,4,26,0,0,0,3.32,12.1,7.13,40.08,1.45,1.63,2.72,0,28.03,0,0.06,3.48,294879,0,1,151459,PAN_PRD_MC,MORENA,51.36
2605,5,26,0,0,0,0,0,7.05,0,1.2,0.49,1.43,0,42.87,44.4,0.09,2.47,310854,1,1,146208,PRI_PVEM_NA,PVEM_PT_MORENA,47.03
2606,6,26,0,0,0,2.32,2.63,12.15,44.85,1.88,0.93,2.48,0,30,0,0.09,2.68,324838,0,1,135722,PT_MORENA_PES,MORENA,41.78
2607,7,26,0,0,0,0,0,5.24,0,1.89,2.18,1.41,0,31.88,54.31,0.23,2.87,274599,1,1,137101,PT_MORENA_PES,PVEM_PT_MORENA,49.93
2801,1,28,39.57,7.7,0.63,0,0,2.16,0,1.3,0.98,1.49,0,0,43.98,0.07,2.12,324668,1,0,151034,PAN_PRD_MC,PVEM_PT_MORENA,46.52
2802,2,28,36.45,8.99,0.85,0,0,3.09,0,4.08,0.96,1.68,0,0,41.53,0.04,2.33,288784,1,0,136676,PAN_PRD_MC,PVEM_PT_MORENA,47.33
2803,3,28,32.39,13.53,1.23,0,0,2.49,0,1.61,1.08,1.09,0,0,44.15,0.04,2.39,307311,1,0,156176,PT_MORENA_PES,PVEM_PT_MORENA,50.82
2804,4,28,25.35,8.05,0.74,0,0,2.14,0,1.25,0.71,0.91,0,0,58.88,0.06,1.9,314138,1,0,146758,PRI_PVEM_NA,PVEM_PT_MORENA,46.72
2805,5,28,39.75,15.1,0.8,0,0,4.7,0,1.35,1.57,0.97,0,0,33.74,0.04,1.97,307769,1,0,189047,PT_MORENA_PES,PAN,61.42
2806,6,28,37.45,13.79,0.82,3.78,3.55,3.31,30.98,1.32,1.08,0.83,0,0,0,0.03,3.06,287847,0,0,195398,PT_MORENA_PES,PAN,67.88
2807,7,28,33.35,4.27,1.79,0,0,3.08,0,3.03,1.04,1.03,0,0,50.34,0.06,2.01,298881,1,0,163137,PT_MORENA_PES,PVEM_PT_MORENA,54.58
2808,8,28,45.06,2.68,0.63,0,0,3.33,0,1.39,1.23,0.62,0,0,43.4,0.07,1.57,300467,1,0,176405,PT_MORENA_PES,PAN,58.71
2809,9,28,28.72,6.16,1.07,0,0,3.05,0,3.66,1.33,0.97,0,0,52.64,0.03,2.37,306122,1,0,126741,PT_MORENA_PES,PVEM_PT_MORENA,41.4
1901,1,19,58.08,10.71,0.32,1.27,0.64,14.25,10.32,0.52,0.53,1.15,0,0,0,0.09,2.11,333592,0,0,179843,PAN_PRD_MC,PAN,53.91
1911,11,19,33.98,24.14,0.53,0,0,17.48,0,1.35,0.63,0.65,0,0,18.86,0.04,2.35,333407,1,0,179040,PT_MORENA_PES,PAN,53.7
