"ESTADO","SEMANA2","FECHA_DOMINGO","CONFIRMADOS","DECESOS"
"03","'39-2020","2020-09-20",512,16
"03","'40-2020","2020-09-27",515,13
"03","'41-2020","2020-10-04",506,18
"03","'42-2020","2020-10-11",602,16
"03","'43-2020","2020-10-18",553,19
"03","'44-2020","2020-10-25",450,11
"03","'45-2020","2020-11-01",470,19
"03","'46-2020","2020-11-08",424,15
"03","'47-2020","2020-11-15",491,13
"03","'48-2020","2020-11-22",594,22
"03","'49-2020","2020-11-29",600,23
"03","'50-2020","2020-12-06",751,31
"03","'51-2020","2020-12-13",767,34
"03","'52-2020","2020-12-20",1376,62
"04","'01-2021","2021-01-03",246,22
"04","'02-2021","2021-01-10",175,12
"04","'03-2021","2021-01-17",170,13
"04","'04-2021","2021-01-24",143,13
"04","'05-2021","2021-01-31",101,13
"04","'06-2021","2021-02-07",91,16
"04","'07-2021","2021-02-14",127,8
"04","'08-2021","2021-02-21",120,11
"04","'09-2021","2021-02-28",100,6
"04","'10-2020","2020-03-01",1,0
"04","'10-2021","2021-03-07",94,6
"04","'11-2020","2020-03-08",2,0
"04","'11-2021","2021-03-14",104,8
"04","'12-2020","2020-03-15",1,0
"04","'12-2021","2021-03-21",101,14
"04","'13-2020","2020-03-22",7,2
"04","'13-2021","2021-03-28",74,9
"04","'14-2020","2020-03-29",14,2
"04","'14-2021","2021-04-04",84,5
"04","'15-2020","2020-04-05",22,3
"04","'15-2021","2021-04-11",106,4
"04","'16-2020","2020-04-12",31,11
"04","'16-2021","2021-04-18",120,5
"04","'17-2020","2020-04-19",68,14
"04","'17-2021","2021-04-25",150,8
"04","'18-2020","2020-04-26",94,14
"04","'18-2021","2021-05-02",116,7
"04","'19-2020","2020-05-03",126,17
"04","'19-2021","2021-05-09",213,4
"04","'20-2020","2020-05-10",154,24
"04","'20-2021","2021-05-16",158,9
"04","'21-2020","2020-05-17",175,26
"04","'21-2021","2021-05-23",249,13
"04","'22-2020","2020-05-24",190,26
"04","'22-2021","2021-05-30",208,16
"04","'23-2020","2020-05-31",312,44
"04","'23-2021","2021-06-06",407,34
"04","'24-2020","2020-06-07",497,55
"04","'24-2021","2021-06-13",539,27
"04","'25-2020","2020-06-14",618,109
"04","'25-2021","2021-06-20",548,31
"04","'26-2020","2020-06-21",525,92
"04","'26-2021","2021-06-27",571,38
"04","'27-2020","2020-06-28",619,129
"04","'27-2021","2021-07-04",576,27
"04","'28-2020","2020-07-05",622,94
"04","'28-2021","2021-07-11",557,23
"04","'29-2020","2020-07-12",568,108
"04","'29-2021","2021-07-18",780,23
"04","'30-2020","2020-07-19",427,80
"04","'30-2021","2021-07-25",809,9
"04","'31-2020","2020-07-26",304,37
"04","'31-2021","2021-08-01",215,0
"04","'32-2020","2020-08-02",177,25
"04","'33-2020","2020-08-09",205,21
"04","'34-2020","2020-08-16",182,20
"04","'35-2020","2020-08-23",132,13
"04","'36-2020","2020-08-30",85,9
"04","'37-2020","2020-09-06",83,9
"04","'38-2020","2020-09-13",103,7
"04","'39-2020","2020-09-20",71,4
"04","'40-2020","2020-09-27",84,7
"04","'41-2020","2020-10-04",79,5
"04","'42-2020","2020-10-11",58,4
"04","'43-2020","2020-10-18",84,1
"04","'44-2020","2020-10-25",56,4
"04","'45-2020","2020-11-01",71,4
"04","'46-2020","2020-11-08",73,5
"04","'47-2020","2020-11-15",90,5
"04","'48-2020","2020-11-22",93,2
"04","'49-2020","2020-11-29",105,5
"04","'50-2020","2020-12-06",123,5
"04","'51-2020","2020-12-13",117,9
"04","'52-2020","2020-12-20",188,18
"05","'01-2021","2021-01-03",3438,384
"05","'02-2021","2021-01-10",2256,263
"05","'03-2021","2021-01-17",2014,187
"05","'04-2021","2021-01-24",1348,122
"05","'05-2021","2021-01-31",1050,86
"05","'06-2021","2021-02-07",732,57
"05","'07-2021","2021-02-14",672,61
"05","'08-2021","2021-02-21",518,49
"05","'09-2020","2020-02-23",2,0
"05","'09-2021","2021-02-28",433,27
"05","'10-2020","2020-03-01",1,0
"05","'10-2021","2021-03-07",299,18
"05","'11-2020","2020-03-08",4,1
"05","'11-2021","2021-03-14",296,30
"05","'12-2020","2020-03-15",27,5
"05","'12-2021","2021-03-21",277,13
"05","'13-2020","2020-03-22",96,15
"05","'13-2021","2021-03-28",205,16
"05","'14-2020","2020-03-29",107,12
"05","'14-2021","2021-04-04",287,10
"05","'15-2020","2020-04-05",92,17
"05","'15-2021","2021-04-11",218,13
"05","'16-2020","2020-04-12",93,13
"05","'16-2021","2021-04-18",199,10
"05","'17-2020","2020-04-19",104,10
"05","'17-2021","2021-04-25",181,10
"05","'18-2020","2020-04-26",114,12
"05","'18-2021","2021-05-02",183,9
"05","'19-2020","2020-05-03",163,8
"05","'19-2021","2021-05-09",159,9
"05","'20-2020","2020-05-10",246,12
"05","'20-2021","2021-05-16",151,11
"05","'21-2020","2020-05-17",370,24
"05","'21-2021","2021-05-23",141,3
"05","'22-2020","2020-05-24",472,25
"05","'22-2021","2021-05-30",171,8
"05","'23-2020","2020-05-31",690,50
"05","'23-2021","2021-06-06",170,7
"05","'24-2020","2020-06-07",976,58
"05","'24-2021","2021-06-13",185,12
"05","'25-2020","2020-06-14",1381,81
"05","'25-2021","2021-06-20",189,5
"05","'26-2020","2020-06-21",1698,126
"05","'26-2021","2021-06-27",270,4
"05","'27-2020","2020-06-28",1918,122
"05","'27-2021","2021-07-04",640,15
"05","'28-2020","2020-07-05",2071,196
"05","'28-2021","2021-07-11",900,23
"05","'29-2020","2020-07-12",1909,174
"05","'29-2021","2021-07-18",1310,22
"05","'30-2020","2020-07-19",2148,193
"05","'30-2021","2021-07-25",1572,11
"05","'31-2020","2020-07-26",2080,186
"05","'31-2021","2021-08-01",526,3
"05","'32-2020","2020-08-02",1883,169
"05","'33-2020","2020-08-09",2038,146
"05","'34-2020","2020-08-16",1784,120
"05","'35-2020","2020-08-23",1319,114
"05","'36-2020","2020-08-30",1163,113
"05","'37-2020","2020-09-06",829,87
"05","'38-2020","2020-09-13",1035,94
"05","'39-2020","2020-09-20",1106,67
"05","'40-2020","2020-09-27",1476,83
"05","'41-2020","2020-10-04",1736,139
"05","'42-2020","2020-10-11",2091,181
"05","'43-2020","2020-10-18",2470,228
"05","'44-2020","2020-10-25",2167,232
"05","'45-2020","2020-11-01",2258,260
"05","'46-2020","2020-11-08",2219,305
"05","'47-2020","2020-11-15",1906,252
"05","'48-2020","2020-11-22",1795,214
"05","'49-2020","2020-11-29",1690,211
"05","'50-2020","2020-12-06",1770,175
"05","'51-2020","2020-12-13",1758,204
"05","'52-2020","2020-12-20",2704,354
"06","'01-2021","2021-01-03",542,64
"06","'02-2021","2021-01-10",407,38
"06","'03-2021","2021-01-17",370,49
"06","'04-2021","2021-01-24",297,38
"06","'05-2021","2021-01-31",281,32
"06","'06-2021","2021-02-07",181,29
"06","'07-2021","2021-02-14",161,16
"06","'08-2021","2021-02-21",114,16
"06","'09-2021","2021-02-28",115,10
"06","'10-2021","2021-03-07",101,11
"06","'11-2020","2020-03-08",2,0
"06","'11-2021","2021-03-14",83,5
"06","'12-2021","2021-03-21",64,2
"06","'13-2020","2020-03-22",5,0
"06","'13-2021","2021-03-28",82,8
"06","'14-2021","2021-04-04",118,3
"06","'15-2020","2020-04-05",8,3
